time,user_load,user_power,elec_price,pv_power
Day 2 18:30,0.44,0.64,0.64,0.81
Day 2 18:40,0.96,0.09,0.65,0.85
Day 2 18:50,0.07,0.88,0.53,0.95
Day 2 19:00,0.26,0.44,0.63,0.64
Day 2 19:10,0.65,0.42,0.33,0.69
Day 2 19:20,0.9,0.27,0.68,0.05
Day 2 19:30,0.88,0.58,0.4,0.44
Day 2 19:40,0.44,0.18,0.31,0.69
Day 2 19:50,0.03,0.29,0.66,0.48
Day 2 20:00,0.54,0.85,0.43,0.25
Day 2 20:10,0.77,0.53,0.68,0.09
Day 2 20:20,0.2,0.91,0.66,0.14
Day 2 20:30,0.85,0.78,0.64,0.84
Day 2 20:40,0.3,0.61,0.62,0.37
Day 2 20:50,0.83,0.1,0.53,0.74
Day 2 21:00,0.66,0.58,0.34,0.59
Day 2 21:10,0.24,0.46,0.57,0.72
Day 2 21:20,0.62,0.33,0.42,0.97
Day 2 21:30,0.55,0.3,0.68,0.38
Day 2 21:40,0.16,0.78,0.45,0.95
Day 2 21:50,0.69,0.79,0.36,0.1
Day 2 22:00,0.05,0.29,0.62,0.7
Day 2 22:10,0.8,0.78,0.43,0.69
Day 2 22:20,0.1,0.15,0.35,0.31
Day 2 22:30,0.57,0.18,0.58,0.64
Day 2 22:40,0.88,0.04,0.45,0.63
Day 2 22:50,0.1,0.64,0.43,0.59
Day 2 23:00,0.05,0.82,0.45,0.95
Day 2 23:10,0.23,0.04,0.46,0.64
Day 2 23:20,0.03,0.93,0.68,0.05
Day 2 23:30,0.41,0.34,0.32,0.11
Day 2 23:40,0.68,0.19,0.66,0.18
Day 2 23:50,0.33,0.35,0.68,0.22
Day 3 00:00,0.36,0.58,0.33,0.03
Day 3 00:10,0.56,0.05,0.53,0.31
Day 3 00:20,0.78,0.67,0.51,0.54
Day 3 00:30,0.08,0.15,0.57,0.64
Day 3 00:40,0.55,0.1,0.59,0.17
Day 3 00:50,0.92,0.3,0.48,0.02
Day 3 01:00,0.5,0.78,0.42,0.44
Day 3 01:10,0.69,0.83,0.5,0.68
Day 3 01:20,0.82,0.38,0.49,0.26
Day 3 01:30,0.05,0.74,0.32,0.9
Day 3 01:40,0.53,0.92,0.56,0.07
Day 3 01:50,0.89,0.69,0.44,0.44
Day 3 02:00,0.59,0.97,0.63,0.27
Day 3 02:10,0.37,0.28,0.68,0.16
Day 3 02:20,0.74,0.74,0.33,0.41
Day 3 02:30,0.78,0.44,0.45,0.07
Day 3 02:40,0.02,0.38,0.61,0.71
Day 3 02:50,0.26,0.44,0.52,0.15
Day 3 03:00,0.77,0.44,0.69,0.27
Day 3 03:10,0.05,0.01,0.67,0.73
Day 3 03:20,0.58,0.8,0.52,0.99
Day 3 03:30,0.9,0.47,0.43,0.47
Day 3 03:40,0.78,0.03,0.44,0.14
Day 3 03:50,0.55,0.15,0.51,0.9
Day 3 04:00,0.59,0.79,0.53,0.93
Day 3 04:10,0.47,0.17,0.63,0.95
Day 3 04:20,0.02,0.81,0.51,0.07
Day 3 04:30,0.59,0.89,0.54,0.3
Day 3 04:40,0.11,0.32,0.49,0.76
Day 3 04:50,0.76,0.1,0.45,0.91
Day 3 05:00,0.91,0.53,0.48,0.13
Day 3 05:10,0.87,0.79,0.67,0.58
Day 3 05:20,0.9,0.57,0.57,0.4
Day 3 05:30,0.27,0.86,0.34,0.3
Day 3 05:40,0.64,0.74,0.32,0.43
Day 3 05:50,0.64,0.45,0.67,0.25
Day 3 06:00,0.7,0.06,0.5,0.07
Day 3 06:10,0.02,0.35,0.53,0.78
Day 3 06:20,0.03,0.48,0.44,0.85
Day 3 06:30,0.21,0.05,0.37,0.91
Day 3 06:40,0.31,0.16,0.49,0.85
Day 3 06:50,0.52,0.89,0.53,0.82
Day 3 07:00,0.41,0.15,0.7,0.68
Day 3 07:10,0.15,0.77,0.36,0.87
Day 3 07:20,0.98,0.8,0.4,0.54
Day 3 07:30,0.13,0.94,0.63,0.76
Day 3 07:40,0.38,0.88,0.68,0.65
Day 3 07:50,0.43,0.18,0.5,0.53
Day 3 08:00,0.25,0.06,0.62,0.25
Day 3 08:10,0.41,0.39,0.65,0.15
Day 3 08:20,0.55,0.89,0.42,0.52
Day 3 08:30,0.74,0.45,0.54,0.29
Day 3 08:40,0.87,0.47,0.51,0.59
Day 3 08:50,0.13,0.57,0.4,0.51
Day 3 09:00,0.21,0.45,0.41,0.91
Day 3 09:10,0.26,0.64,0.53,0.06
Day 3 09:20,0.64,0.88,0.52,0.95
Day 3 09:30,0.73,0.11,0.68,0.61
Day 3 09:40,0.76,0.73,0.52,0.38
Day 3 09:50,0.05,0.85,0.4,0.57
Day 3 10:00,0.57,0.7,0.54,0.59
Day 3 10:10,0.79,0.96,0.52,0.14
Day 3 10:20,0.4,0.36,0.67,0.65
Day 3 10:30,0.26,0.94,0.39,0.62
Day 3 10:40,0.98,0.63,0.7,0.07
Day 3 10:50,0.27,0.87,0.55,0.16
Day 3 11:00,0.3,0.18,0.36,0.86
Day 3 11:10,0.26,0.15,0.53,0.99
Day 3 11:20,0.63,0.06,0.54,0.8
Day 3 11:30,0.01,0.49,0.57,0.78
Day 3 11:40,0.52,0.43,0.45,0.37
Day 3 11:50,0.83,0.11,0.51,0.47
Day 3 12:00,0.08,0.92,0.34,0.72
Day 3 12:10,0.67,0.58,0.41,0.37
Day 3 12:20,0.45,0.22,0.52,0.35
Day 3 12:30,0.94,0.22,0.44,0.54
Day 3 12:40,0.78,0.31,0.43,0.98
Day 3 12:50,0.87,0.17,0.6,0.64
Day 3 13:00,0.94,0.31,0.41,0.1
Day 3 13:10,0.59,0.66,0.66,0.79
Day 3 13:20,0.17,0.05,0.42,0.98
Day 3 13:30,0.33,0.26,0.51,0.58
Day 3 13:40,0.39,0.21,0.47,0.19
Day 3 13:50,0.6,0.93,0.35,0.75
Day 3 14:00,0.2,0.76,0.64,0.09
Day 3 14:10,0.92,0.97,0.66,0.96
Day 3 14:20,0.87,0.58,0.42,0.25
Day 3 14:30,0.89,0.37,0.62,0.3
Day 3 14:40,0.62,0.76,0.53,0.72
Day 3 14:50,0.89,0.65,0.52,0.66
Day 3 15:00,0.66,0.56,0.62,0.68
Day 3 15:10,0.41,0.83,0.54,0.2
Day 3 15:20,0.2,0.23,0.51,0.04
Day 3 15:30,0.86,0.59,0.36,0.49
Day 3 15:40,0.04,0.82,0.38,0.63
Day 3 15:50,0.92,0.46,0.38,0.14
Day 3 16:00,0.8,0.6,0.38,0.7
Day 3 16:10,0.59,0.03,0.43,0.78
Day 3 16:20,0.49,0.8,0.31,0.29
Day 3 16:30,0.68,0.58,0.53,0.94
Day 3 16:40,0.38,0.36,0.68,0.65
Day 3 16:50,0.24,0.98,0.41,0.92
Day 3 17:00,0.37,0.59,0.54,0.49
Day 3 17:10,0.26,0.68,0.56,0.82
Day 3 17:20,0.44,0.51,0.41,0.03
Day 3 17:30,0.7,0.61,0.66,0.42
Day 3 17:40,0.09,0.7,0.7,0.53
Day 3 17:50,0.43,0.78,0.45,0.58
Day 3 18:00,0.43,0.59,0.5,0.77
Day 3 18:10,0.3,0.59,0.34,0.16
Day 3 18:20,0.56,0.48,0.39,0.1
Day 3 18:30,0.47,0.88,0.49,0.33
Day 3 18:40,0.75,0.95,0.64,0.52
Day 3 18:50,0.94,0.8,0.35,0.43
Day 3 19:00,0.91,0.41,0.31,0.95
Day 3 19:10,0.41,0.98,0.63,0.85
Day 3 19:20,0.36,0.13,0.53,0.61
Day 3 19:30,0.52,0.12,0.6,0.64
Day 3 19:40,0.41,0.32,0.47,0.55
Day 3 19:50,0.39,0.36,0.34,0.81
Day 3 20:00,0.29,0.82,0.41,0.78
Day 3 20:10,0.64,0.41,0.34,0.43
Day 3 20:20,0.17,0.96,0.59,0.57
Day 3 20:30,0.54,0.84,0.61,1.0
Day 3 20:40,0.78,0.02,0.65,0.41
Day 3 20:50,0.27,0.31,0.39,0.15
Day 3 21:00,0.22,0.54,0.61,0.93
Day 3 21:10,0.07,0.41,0.35,0.28
Day 3 21:20,0.09,0.62,0.64,0.24
Day 3 21:30,0.89,0.65,0.39,0.44
Day 3 21:40,0.68,0.72,0.53,0.78
Day 3 21:50,0.04,0.2,0.52,0.25
Day 3 22:00,0.96,0.98,0.7,0.63
Day 3 22:10,0.44,0.04,0.44,0.01
Day 3 22:20,0.01,0.69,0.57,0.46
Day 3 22:30,0.84,0.53,0.48,0.53
Day 3 22:40,0.05,0.62,0.32,0.05
Day 3 22:50,0.86,0.97,0.69,0.21
Day 3 23:00,0.46,0.15,0.47,0.46
Day 3 23:10,0.91,0.86,0.37,0.63
Day 3 23:20,0.8,0.01,0.57,0.65
Day 3 23:30,0.58,0.79,0.61,0.77
Day 3 23:40,0.98,0.5,0.42,0.8
Day 3 23:50,0.89,0.48,0.31,0.43
Day 4 00:00,0.94,0.34,0.63,0.78
Day 4 00:10,0.25,0.29,0.47,0.95
Day 4 00:20,0.38,0.17,0.54,0.91
Day 4 00:30,0.25,0.07,0.55,0.92
Day 4 00:40,0.95,0.78,0.38,0.09
Day 4 00:50,0.32,0.82,0.47,0.88
Day 4 01:00,0.68,0.0,0.38,0.33
Day 4 01:10,0.32,0.21,0.42,0.52
Day 4 01:20,0.8,0.54,0.35,0.75
Day 4 01:30,0.77,0.61,0.49,0.14
Day 4 01:40,0.67,0.52,0.55,0.78
Day 4 01:50,0.71,0.19,0.67,0.19
Day 4 02:00,0.62,0.09,0.58,0.51
Day 4 02:10,0.46,0.58,0.67,0.61
Day 4 02:20,0.43,0.86,0.69,0.53
Day 4 02:30,0.08,0.54,0.58,0.26
Day 4 02:40,0.26,0.67,0.65,0.46
Day 4 02:50,0.45,0.08,0.57,0.95
Day 4 03:00,0.79,0.82,0.63,0.14
Day 4 03:10,0.86,0.72,0.32,0.09
Day 4 03:20,0.02,0.79,0.38,0.07
Day 4 03:30,0.29,0.08,0.64,0.34
Day 4 03:40,0.97,0.55,0.62,0.28
Day 4 03:50,0.55,0.04,0.69,0.5
Day 4 04:00,0.08,0.41,0.35,0.5
Day 4 04:10,0.57,0.75,0.61,0.19
Day 4 04:20,0.38,0.78,0.68,0.24
Day 4 04:30,0.05,0.41,0.52,0.48
Day 4 04:40,0.14,0.4,0.45,0.31
Day 4 04:50,0.75,0.39,0.65,0.79
Day 4 05:00,0.41,0.58,0.64,0.94
Day 4 05:10,0.33,0.4,0.68,0.03
Day 4 05:20,0.61,0.75,0.54,0.4
Day 4 05:30,0.42,0.0,0.5,0.8
Day 4 05:40,0.12,0.25,0.42,0.71
Day 4 05:50,0.54,0.18,0.34,0.61
Day 4 06:00,0.48,0.31,0.34,0.45
Day 4 06:10,0.16,0.61,0.53,0.71
Day 4 06:20,0.36,0.6,0.3,0.28
Day 4 06:30,0.42,0.88,0.3,0.6
Day 4 06:40,0.26,0.68,0.58,0.7
Day 4 06:50,0.53,0.25,0.56,0.1
Day 4 07:00,0.96,0.26,0.68,0.34
Day 4 07:10,0.11,0.53,0.33,0.71
Day 4 07:20,0.63,0.2,0.63,0.86
Day 4 07:30,0.84,0.17,0.66,0.47
Day 4 07:40,0.37,0.12,0.33,0.68
Day 4 07:50,0.38,0.81,0.47,0.36
Day 4 08:00,0.96,0.24,0.67,0.19
Day 4 08:10,0.76,0.77,0.45,0.69
Day 4 08:20,0.31,0.94,0.36,0.2
Day 4 08:30,0.48,0.96,0.3,0.34
Day 4 08:40,0.17,0.95,0.34,0.94
Day 4 08:50,0.21,0.13,0.55,0.18
Day 4 09:00,0.3,0.48,0.35,0.16
Day 4 09:10,0.9,0.31,0.59,0.31
Day 4 09:20,0.57,0.07,0.53,0.57
Day 4 09:30,0.75,0.59,0.36,0.31
Day 4 09:40,0.22,0.75,0.36,0.08
Day 4 09:50,0.12,0.35,0.38,0.4
Day 4 10:00,0.22,0.62,0.4,0.23
Day 4 10:10,0.88,0.87,0.31,0.79
Day 4 10:20,0.58,0.32,0.54,0.58
Day 4 10:30,0.63,0.95,0.53,0.32
Day 4 10:40,0.45,0.55,0.51,0.66
Day 4 10:50,0.61,0.56,0.45,0.92
Day 4 11:00,0.5,0.76,0.64,0.92
Day 4 11:10,0.74,0.46,0.4,0.89
Day 4 11:20,0.3,0.68,0.44,0.06
Day 4 11:30,0.62,0.68,0.36,0.03
Day 4 11:40,0.82,0.66,0.64,0.85
Day 4 11:50,0.81,0.43,0.64,0.4
Day 4 12:00,0.11,0.27,0.36,0.42
Day 4 12:10,0.86,0.95,0.36,0.45
Day 4 12:20,0.14,0.46,0.35,0.81
Day 4 12:30,0.8,0.57,0.51,0.97
Day 4 12:40,0.71,0.78,0.37,0.87
Day 4 12:50,0.54,0.69,0.53,0.61
Day 4 13:00,0.8,0.57,0.31,0.59
Day 4 13:10,0.99,0.5,0.37,0.98
Day 4 13:20,0.22,0.02,0.4,0.46
Day 4 13:30,0.96,0.4,0.62,0.25
Day 4 13:40,0.87,0.37,0.43,0.41
Day 4 13:50,0.74,0.12,0.65,0.76
Day 4 14:00,0.33,0.35,0.6,0.0
Day 4 14:10,0.5,0.26,0.66,0.18
Day 4 14:20,0.62,0.31,0.43,0.91
Day 4 14:30,0.13,0.49,0.68,0.83
Day 4 14:40,0.67,0.76,0.43,0.12
Day 4 14:50,0.57,0.93,0.42,0.69
Day 4 15:00,0.71,0.22,0.66,0.18
Day 4 15:10,0.82,0.88,0.36,0.73
Day 4 15:20,0.52,0.73,0.65,0.79
Day 4 15:30,0.52,0.37,0.66,0.44
Day 4 15:40,0.01,0.32,0.54,0.29
Day 4 15:50,0.7,0.17,0.65,0.7
Day 4 16:00,0.57,0.07,0.67,0.13
Day 4 16:10,0.05,0.06,0.54,0.16
Day 4 16:20,0.25,0.6,0.45,0.89
Day 4 16:30,0.31,0.79,0.55,0.76
Day 4 16:40,0.47,0.42,0.52,0.89
Day 4 16:50,0.36,0.93,0.37,0.11
Day 4 17:00,0.46,0.62,0.59,0.77
Day 4 17:10,0.06,0.99,0.47,0.95
Day 4 17:20,0.99,0.64,0.35,0.69
Day 4 17:30,0.68,0.24,0.55,0.96
Day 4 17:40,0.66,0.17,0.67,0.96
Day 4 17:50,0.87,0.87,0.45,0.82
Day 4 18:00,0.39,0.56,0.52,0.49
Day 4 18:10,0.53,0.26,0.42,0.42
Day 4 18:20,0.15,0.26,0.59,0.17
Day 4 18:30,0.77,0.0,0.49,0.2
Day 4 18:40,0.9,0.71,0.65,0.93
Day 4 18:50,0.98,0.86,0.46,0.56
Day 4 19:00,0.4,0.02,0.4,0.23
Day 4 19:10,0.36,0.69,0.49,0.51
Day 4 19:20,0.77,0.51,0.39,0.46
Day 4 19:30,0.98,0.64,0.67,0.11
Day 4 19:40,0.48,0.7,0.61,0.18
Day 4 19:50,0.5,0.98,0.33,0.09
Day 4 20:00,1.0,0.36,0.31,0.14
Day 4 20:10,1.0,0.78,0.34,0.14
Day 4 20:20,0.75,0.48,0.68,0.75
Day 4 20:30,0.29,0.75,0.36,0.98
Day 4 20:40,0.95,0.01,0.35,0.82
Day 4 20:50,0.31,0.31,0.36,0.19
